param_clf__C,param_clf__gamma,mean_test_f1,std_test_f1,mean_test_roc_auc,mean_test_accuracy,rank_test_f1
10.0,0.01,0.8805716575507138,0.015935296183822334,0.951325595395792,0.911845730027548,1
10.0,scale,0.8711805540930019,0.015507718410864565,0.9459501946422938,0.9038567493112947,2
1.0,0.01,0.8683392885829259,0.021115911516169865,0.9512664600594857,0.9052341597796143,3
1.0,scale,0.8670817219022385,0.013035723291969909,0.9503923815884349,0.903305785123967,4
1.0,0.1,0.8529732115949569,0.02210689604546262,0.9398059318101495,0.8892561983471076,5
10.0,0.1,0.8431239002412372,0.018231650126056237,0.9312993314586295,0.8790633608815428,6
0.1,scale,0.8277934716562056,0.029700734222010854,0.9421095421863669,0.8809917355371901,7
0.1,0.01,0.820691809052747,0.027848614387800025,0.941611438572725,0.8743801652892561,8
0.1,0.1,0.7854359784296556,0.02518855628185438,0.9144551990902823,0.8214876033057852,9
10.0,1,0.028574750150092622,0.01746036197666487,0.8655097186838168,0.6085399449035813,10
1.0,1,0.0,0.0,0.8680308933741561,0.6082644628099174,11
0.1,1,0.0,0.0,0.8679846924936176,0.6085399449035813,11
