,count,mean,std,min,25%,50%,75%,max
Marital status,3630.0,1.184297520661157,0.613008823564019,1.0,1.0,1.0,1.0,6.0
Application mode,3630.0,18.421763085399448,17.35859518715107,1.0,1.0,17.0,39.0,57.0
Application order,3630.0,1.750137741046832,1.3338312469334646,0.0,1.0,1.0,2.0,6.0
Course,3630.0,8853.980991735538,2068.760081660546,33.0,9085.0,9254.0,9556.0,9991.0
Daytime/evening attendance,3630.0,0.8876033057851239,0.3158974011041246,0.0,1.0,1.0,1.0,1.0
Previous qualification,3630.0,4.532231404958678,10.024133580713324,1.0,1.0,1.0,1.0,43.0
Previous qualification (grade),3630.0,132.92060606060605,13.238372653658397,95.0,125.0,133.1,140.0,190.0
Nacionality,3630.0,1.828099173553719,6.667614071008957,1.0,1.0,1.0,1.0,109.0
Mother's qualification,3630.0,19.986225895316803,15.58527782549862,1.0,2.0,19.0,37.0,44.0
Father's qualification,3630.0,22.57162534435262,15.275452650628198,1.0,3.0,19.0,37.0,44.0
Mother's occupation,3630.0,10.138567493112948,23.315697323443146,0.0,4.0,5.0,9.0,194.0
Father's occupation,3630.0,10.282920110192837,22.402690225949037,0.0,4.0,7.0,9.0,195.0
Admission grade,3630.0,127.2939393939394,14.611295270475935,95.0,118.0,126.5,135.1,190.0
Displaced,3630.0,0.5490358126721763,0.49765823211777177,0.0,0.0,1.0,1.0,1.0
Educational special needs,3630.0,0.011019283746556474,0.10440719383543537,0.0,0.0,0.0,0.0,1.0
Debtor,3630.0,0.1137741046831956,0.31758044993122225,0.0,0.0,0.0,0.0,1.0
Tuition fees up to date,3630.0,0.8661157024793389,0.3405748756284439,0.0,1.0,1.0,1.0,1.0
Gender,3630.0,0.3440771349862259,0.475131824147256,0.0,0.0,0.0,1.0,1.0
Scholarship holder,3630.0,0.26694214876033057,0.4424228297439625,0.0,0.0,0.0,1.0,1.0
Age at enrollment,3630.0,23.461157024793387,7.827994205896146,17.0,19.0,20.0,25.0,70.0
International,3630.0,0.023691460055096418,0.15210702968755166,0.0,0.0,0.0,0.0,1.0
Curricular units 1st sem (credited),3630.0,0.7542699724517906,2.4772766591613515,0.0,0.0,0.0,0.0,20.0
Curricular units 1st sem (enrolled),3630.0,6.337465564738292,2.5707730857179416,0.0,5.0,6.0,7.0,26.0
Curricular units 1st sem (evaluations),3630.0,8.071074380165289,4.286632371376056,0.0,6.0,8.0,10.0,45.0
Curricular units 1st sem (approved),3630.0,4.791460055096419,3.2378452049397413,0.0,3.0,5.0,6.0,26.0
Curricular units 1st sem (grade),3630.0,10.534859606002367,5.0576939569071495,0.0,11.0,12.34142857142857,13.5,18.875
Curricular units 1st sem (without evaluations),3630.0,0.12892561983471074,0.6791105836876995,0.0,0.0,0.0,0.0,12.0
Curricular units 2nd sem (credited),3630.0,0.5818181818181818,2.022687521898221,0.0,0.0,0.0,0.0,19.0
Curricular units 2nd sem (enrolled),3630.0,6.296418732782369,2.2630201609737965,0.0,5.0,6.0,7.0,23.0
Curricular units 2nd sem (evaluations),3630.0,7.763085399449036,3.9641634357394797,0.0,6.0,8.0,10.0,33.0
Curricular units 2nd sem (approved),3630.0,4.518457300275482,3.162376272237227,0.0,2.0,5.0,6.0,20.0
Curricular units 2nd sem (grade),3630.0,10.036155051506652,5.481742082375743,0.0,10.517857142857142,12.333333333333334,13.5,18.571428571428573
Curricular units 2nd sem (without evaluations),3630.0,0.14214876033057852,0.7476704410119649,0.0,0.0,0.0,0.0,12.0
Unemployment rate,3630.0,11.630358126721763,2.6676518962215647,7.6,9.4,11.1,13.9,16.2
Inflation rate,3630.0,1.2315977961432507,1.3849111826964449,-0.8,0.3,1.4,2.6,3.7
GDP,3630.0,-0.009256198347107421,2.259985867959601,-4.06,-1.7,0.32,1.79,3.51
Target,3630.0,0.39146005509641874,0.48814416265572114,0.0,0.0,0.0,1.0,1.0
