feature,f_score,p_value
Curricular units 2nd sem (approved),2711.440873502039,0.0
Curricular units 2nd sem (grade),2098.450927061507,0.0
Curricular units 1st sem (approved),1613.9622513021848,2.8322807176382944e-292
Curricular units 1st sem (grade),1344.0710395403516,1.329067339440697e-250
Tuition fees up to date,881.5527959726716,1.3012055873413176e-173
Scholarship holder,394.084022118948,2.440564194193772e-83
Age at enrollment,279.0052761622909,2.1138851689846782e-60
Debtor,278.955392792431,2.1635938639671052e-60
Gender,245.92127699755932,1.1217973569292282e-53
Application mode,230.6868466119519,1.4690966257044856e-50
Curricular units 2nd sem (enrolled),125.56090897032587,1.1284261185508363e-28
Curricular units 1st sem (enrolled),96.63444002946008,1.589880902877111e-22
Admission grade,60.486676625077926,9.583914186233987e-15
Displaced,58.63406284232878,2.4197541367427862e-14
Curricular units 2nd sem (evaluations),52.32645275999323,5.706150126867642e-13
Previous qualification (grade),43.9989613923743,3.772810037616854e-11
Curricular units 2nd sem (without evaluations),38.66344347760916,5.607154422895839e-10
Marital status,37.00201706398134,1.302520388236689e-09
Application order,32.589480221858715,1.2296081920662596e-08
Daytime/evening attendance,26.08859631474686,3.4289490176826017e-07
Curricular units 1st sem (without evaluations),20.32653089245657,6.7351996527137095e-06
Previous qualification,14.146622636265331,0.00017176888134429769
Curricular units 1st sem (evaluations),13.0144304156073,0.00031326710733349387
Mother's qualification,10.605771649847497,0.0011377229368673136
Curricular units 2nd sem (credited),9.98979840976497,0.0015870623569211543
GDP,9.18783602605624,0.002453490860063478
Curricular units 1st sem (credited),7.997782711269744,0.0047091537219237315
Course,5.283917361094321,0.021579855667976256
Inflation rate,3.3395910398281488,0.06771351622866277
Nacionality,0.87367247937251,0.3500028201360527
Educational special needs,0.19089907249702273,0.6621953811723991
International,0.138623927665127,0.7096746113487838
Father's qualification,0.1248214796840704,0.7238834466867317
Father's occupation,0.09309522839842964,0.7602959885130698
Unemployment rate,0.06394131634458815,0.8003859332620913
Mother's occupation,0.0021647211289421943,0.9628931229972212
