feature,mi_score
Curricular units 2nd sem (approved),0.3240474467095822
Curricular units 1st sem (approved),0.26210207077174674
Curricular units 2nd sem (grade),0.25513821247203494
Curricular units 1st sem (grade),0.20023686774161908
Tuition fees up to date,0.10948877412925184
Curricular units 2nd sem (evaluations),0.08963264367999768
Curricular units 1st sem (evaluations),0.07983871312324231
Age at enrollment,0.07500961195105726
Scholarship holder,0.059361895121399444
Gender,0.04861522311013822
Course,0.04792110509090608
Application mode,0.045911477707657244
Previous qualification (grade),0.04179096098275781
Curricular units 2nd sem (enrolled),0.03693993570124077
Debtor,0.0349632056985143
Curricular units 1st sem (enrolled),0.032742400452809184
Admission grade,0.023866901721980804
GDP,0.022792590285167114
Father's qualification,0.0214507452838546
Mother's qualification,0.020477520486725576
Daytime/evening attendance,0.01713214270141572
Mother's occupation,0.01696301037190051
Father's occupation,0.015716056909162113
Educational special needs,0.011938817612968888
Displaced,0.0112169387894685
Curricular units 1st sem (credited),0.011083627233453797
Application order,0.010684628042429534
Previous qualification,0.009437008755432075
Nacionality,0.008305756985528268
Inflation rate,0.007594705897260967
Curricular units 2nd sem (credited),0.004489431634105312
Marital status,0.001545392652867239
International,0.0
Curricular units 1st sem (without evaluations),0.0
Curricular units 2nd sem (without evaluations),0.0
Unemployment rate,0.0
